[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\signal.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\DLLs\_queue.pyd first seen with mtime 1670350202.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\contrib\sessions\management\__init__.py first seen with mtime 1690364948.2572894
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\Desktop\Code Academy\my_cattle_app\my_farm\views_herd.py first seen with mtime 1690355014.4284797
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\wsgiref\headers.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\paginator.py first seen with mtime 1690364950.44157
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1690277382.3817942
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\tokenize.py first seen with mtime 1670350172.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\core\files\locks.py first seen with mtime 1690364950.724308
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\django\db\models\query.py first seen with mtime 1690364952.02147
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Local\Programs\Python\Python311\Lib\opcode.py first seen with mtime 1670350170.0
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\pkg_resources\_vendor\packaging\__about__.py first seen with mtime 1690277238.7579274
[26/Jul/2023 22:50:11] DEBUG [django.utils.autoreload:394] File C:\Users\bsavk\AppData\Locals\my_cattle_app\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1690277382.3757968
